Shadow IDS Report
Source file: E:/Data structures and Algorithms/DSA_Project/logs.txt
Total logs: 12
Visible logs: 12
Estimated alerts: 12

Detection Output


Visible Logs
Time,Source IP,Destination Port,Attempts,Type,Severity
2024-04-30 14:33:20,172.16.1.30,5353,10,NORMAL,High
2024-04-30 14:31:44,10.20.10.20,8081,5,PORT_SCAN,High
2024-04-30 14:31:43,10.20.10.20,3307,5,PORT_SCAN,High
2024-04-30 14:31:42,10.20.10.20,444,5,PORT_SCAN,High
2024-04-30 14:31:41,10.20.10.20,81,5,PORT_SCAN,High
2024-04-30 14:30:00,192.168.1.60,23,20,FAILED_LOGIN,Critical
2024-04-30 13:33:20,172.16.0.30,53,10,NORMAL,High
2024-04-30 13:31:44,10.10.10.20,8080,5,PORT_SCAN,High
2024-04-30 13:31:43,10.10.10.20,3306,5,PORT_SCAN,High
2024-04-30 13:31:42,10.10.10.20,443,5,PORT_SCAN,High
2024-04-30 13:31:41,10.10.10.20,80,5,PORT_SCAN,High
2024-04-30 13:30:00,192.168.1.50,22,20,FAILED_LOGIN,Critical
